pair_id,drug_a_id,drug_b_id,shared_targets,is_dangerous
PR0142,DB00398,DB00458,9,true
PR0143,DB00398,DB01238,7,true
PR0144,DB00398,DB00783,11,true
PR0145,DB00398,DB00171,2,true
PR0146,DB00398,DB00909,2,true
PR0147,DB00398,DB00753,1,false
PR0148,DB00398,DB00246,7,true
PR0149,DB00398,DB01224,8,true
PR0150,DB00398,DB00477,5,true
PR0151,DB00398,DB01236,2,true
PR0152,DB00398,DB00997,6,true
PR0153,DB00398,DB00829,10,true
PR0154,DB00398,DB00184,7,true
PR0155,DB00398,DB00408,1,false
PR0156,DB00398,DB01151,7,true
PR0157,DB00398,DB00530,14,true
PR0158,DB00398,DB00675,13,true
PR0159,DB00398,DB00328,6,true
PR0160,DB00398,DB00563,4,true
PR0161,DB00536,DB06637,1,false
PR0162,DB00536,DB00661,4,true
PR0163,DB00536,DB00619,2,true
PR0164,DB00536,DB00458,5,true
PR0165,DB00536,DB01238,1,false
PR0166,DB00536,DB00783,3,true
PR0167,DB00536,DB00246,1,false
PR0168,DB00536,DB00477,2,true
PR0169,DB00536,DB00184,5,true
PR0170,DB00536,DB01151,5,true
PR0171,DB00536,DB00122,5,true
PR0172,DB04868,DB00321,6,true
PR0173,DB04868,DB05294,13,true
PR0174,DB04868,DB08877,1,false
PR0175,DB04868,DB01159,4,true
PR0176,DB04868,DB00661,7,true
PR0177,DB04868,DB00363,5,true
PR0178,DB04868,DB06589,14,true
PR0179,DB04868,DB00334,4,true
PR0180,DB04868,DB00619,12,true
PR0181,DB04868,DB00458,4,true
PR0182,DB04868,DB01238,3,true
PR0183,DB04868,DB00783,6,true
PR0184,DB04868,DB00171,3,true
PR0185,DB04868,DB00909,1,false
PR0186,DB04868,DB00753,1,false
PR0187,DB04868,DB00246,2,true
PR0188,DB04868,DB01224,3,true
PR0189,DB04868,DB00477,3,true
PR0190,DB04868,DB01236,2,true
PR0191,DB04868,DB00997,5,true
PR0192,DB04868,DB00829,5,true
PR0193,DB04868,DB00184,5,true
PR0194,DB04868,DB01151,4,true
PR0195,DB04868,DB00530,10,true
PR0196,DB04868,DB00675,7,true
PR0197,DB04868,DB00328,3,true
PR0198,DB04868,DB00563,2,true
PR0199,DB00321,DB05294,3,true
PR0200,DB00321,DB08877,1,false
PR0201,DB00321,DB01159,6,true
PR0202,DB00321,DB06637,1,false
PR0203,DB00321,DB00661,10,true
PR0204,DB00321,DB00363,26,true
PR0205,DB00321,DB06589,5,true
PR0206,DB00321,DB00334,26,true
PR0207,DB00321,DB00619,9,true
PR0208,DB00321,DB00458,23,true
PR0209,DB00321,DB01238,23,true
PR0210,DB00321,DB00783,8,true
PR0211,DB00321,DB00171,1,false
PR0212,DB00321,DB00909,2,true
PR0213,DB00321,DB00753,3,true
PR0214,DB00321,DB00246,23,true
PR0215,DB00321,DB01224,23,true
PR0216,DB00321,DB00477,20,true
PR0217,DB00321,DB01236,4,true
PR0218,DB00321,DB00997,4,true
PR0219,DB00321,DB00829,10,true
PR0220,DB00321,DB00184,8,true
PR0221,DB00321,DB00408,19,true
PR0222,DB00321,DB01151,19,true
PR0223,DB00321,DB00530,8,true
PR0224,DB00321,DB00675,10,true
PR0225,DB00321,DB00328,4,true
PR0226,DB00321,DB00563,2,true
PR0227,DB05294,DB08877,3,true
PR0228,DB05294,DB01159,2,true
PR0229,DB05294,DB00143,1,false
PR0230,DB05294,DB00661,3,true
PR0231,DB05294,DB00363,2,true
PR0232,DB05294,DB06589,10,true
PR0233,DB05294,DB00334,4,true
PR0234,DB05294,DB00619,8,true
PR0235,DB05294,DB00458,2,true
PR0236,DB05294,DB01238,1,false
PR0237,DB05294,DB00783,3,true
PR0238,DB05294,DB00171,2,true
PR0239,DB05294,DB00909,1,false
PR0240,DB05294,DB00753,1,false
PR0241,DB05294,DB00246,1,false
PR0242,DB05294,DB01224,1,false
PR0243,DB05294,DB00477,2,true
PR0244,DB05294,DB01236,2,true
PR0245,DB05294,DB00997,3,true
PR0246,DB05294,DB00829,2,true
PR0247,DB05294,DB00184,1,false
PR0248,DB05294,DB01151,2,true
PR0249,DB05294,DB00530,12,true
PR0250,DB05294,DB00675,3,true
PR0251,DB05294,DB00328,2,true
PR0252,DB05294,DB00563,3,true
PR0253,DB08877,DB01159,1,false
PR0254,DB08877,DB00661,1,false
PR0255,DB08877,DB00363,1,false
PR0256,DB08877,DB06589,5,true
PR0257,DB08877,DB00334,1,false
PR0258,DB08877,DB00619,1,false
PR0259,DB08877,DB00458,1,false
PR0260,DB08877,DB01238,1,false
PR0261,DB08877,DB00783,1,false
PR0262,DB08877,DB00909,1,false
PR0263,DB08877,DB00246,1,false
PR0264,DB08877,DB01224,1,false
PR0265,DB08877,DB00477,1,false
PR0266,DB08877,DB01236,1,false
PR0267,DB08877,DB00997,1,false
PR0268,DB08877,DB00829,1,false
PR0269,DB08877,DB00184,1,false
PR0270,DB08877,DB01151,1,false
PR0271,DB08877,DB00530,2,true
PR0272,DB08877,DB00675,1,false
PR0273,DB01159,DB06637,1,false
PR0274,DB01159,DB00661,4,true
PR0275,DB01159,DB00363,5,true
PR0276,DB01159,DB06589,2,true
PR0277,DB01159,DB00334,4,true
PR0278,DB01159,DB00619,4,true
PR0279,DB01159,DB00458,4,true
PR0280,DB01159,DB01238,2,true
PR0281,DB01159,DB00783,3,true
PR0282,DB01159,DB00909,1,false
PR0283,DB01159,DB00753,3,true
PR0284,DB01159,DB00246,2,true
PR0285,DB01159,DB01224,2,true
PR0286,DB01159,DB00477,4,true
PR0287,DB01159,DB01236,5,true
PR0288,DB01159,DB00997,3,true
PR0289,DB01159,DB00829,5,true
PR0290,DB01159,DB00184,6,true
PR0291,DB01159,DB01151,5,true
PR0292,DB01159,DB00530,3,true
PR0293,DB01159,DB00675,6,true
PR0294,DB01159,DB00328,2,true
PR0295,DB01159,DB00563,1,false
PR0296,DB00143,DB00661,3,true
PR0297,DB00143,DB00171,1,false
PR0298,DB00143,DB00997,2,true
PR0299,DB00143,DB00675,1,false
PR0300,DB00143,DB00328,3,true
PR0301,DB00143,DB00563,3,true
PR0302,DB06637,DB00661,1,false
PR0303,DB06637,DB00363,1,false
PR0304,DB06637,DB00458,2,true
PR0305,DB06637,DB01238,1,false
PR0306,DB06637,DB00753,1,false
PR0307,DB06637,DB00246,1,false
PR0308,DB06637,DB00477,2,true
PR0309,DB06637,DB01236,1,false
PR0310,DB06637,DB00829,1,false
PR0311,DB06637,DB00184,1,false
PR0312,DB06637,DB01151,1,false
PR0313,DB06637,DB00675,1,false
PR0314,DB00661,DB00363,7,true
PR0315,DB00661,DB06589,6,true
PR0316,DB00661,DB00334,6,true
PR0317,DB00661,DB00619,11,true
PR0318,DB00661,DB00458,12,true
PR0319,DB00661,DB01238,8,true
PR0320,DB00661,DB00783,11,true
PR0321,DB00661,DB00171,2,true
PR0322,DB00661,DB00909,2,true
PR0323,DB00661,DB00753,1,false
PR0324,DB00661,DB00246,8,true
PR0325,DB00661,DB01224,7,true
PR0326,DB00661,DB00477,6,true
PR0327,DB00661,DB01236,2,true
PR0328,DB00661,DB00997,7,true
PR0329,DB00661,DB00829,10,true
PR0330,DB00661,DB00184,10,true
PR0331,DB00661,DB00408,1,false
PR0332,DB00661,DB01151,10,true
PR0333,DB00661,DB00530,7,true
PR0334,DB00661,DB00675,13,true
PR0335,DB00661,DB00328,6,true
PR0336,DB00661,DB00122,3,true
PR0337,DB00661,DB00563,5,true
PR0338,DB00363,DB06589,5,true
PR0339,DB00363,DB00334,31,true
PR0340,DB00363,DB00619,6,true
PR0341,DB00363,DB00458,20,true
PR0342,DB00363,DB01238,27,true
PR0343,DB00363,DB00783,8,true
PR0344,DB00363,DB00171,1,false
PR0345,DB00363,DB00909,2,true
PR0346,DB00363,DB00753,1,false
PR0347,DB00363,DB00246,27,true
PR0348,DB00363,DB01224,28,true
PR0349,DB00363,DB00477,21,true
PR0350,DB00363,DB01236,3,true
PR0351,DB00363,DB00997,4,true
PR0352,DB00363,DB00829,7,true
PR0353,DB00363,DB00184,9,true
PR0354,DB00363,DB00408,24,true
PR0355,DB00363,DB01151,17,true
PR0356,DB00363,DB00530,7,true
PR0357,DB00363,DB00675,12,true
PR0358,DB00363,DB00328,3,true
PR0359,DB00363,DB00563,1,false
PR0360,DB06589,DB00334,4,true
PR0361,DB06589,DB00619,10,true
PR0362,DB06589,DB00458,4,true
PR0363,DB06589,DB01238,3,true
PR0364,DB06589,DB00783,6,true
PR0365,DB06589,DB00171,1,false
PR0366,DB06589,DB00909,1,false
PR0367,DB06589,DB00246,3,true
PR0368,DB06589,DB01224,3,true
PR0369,DB06589,DB00477,4,true
PR0370,DB06589,DB01236,1,false
PR0371,DB06589,DB00997,4,true
PR0372,DB06589,DB00829,4,true
PR0373,DB06589,DB00184,4,true
PR0374,DB06589,DB01151,4,true
PR0375,DB06589,DB00530,10,true
PR0376,DB06589,DB00675,6,true
PR0377,DB06589,DB00328,2,true
PR0378,DB06589,DB00563,2,true
PR0379,DB00334,DB00619,8,true
PR0380,DB00334,DB00458,20,true
PR0381,DB00334,DB01238,28,true
PR0382,DB00334,DB00783,6,true
PR0383,DB00334,DB00171,1,false
PR0384,DB00334,DB00909,2,true
PR0385,DB00334,DB00753,1,false
PR0386,DB00334,DB00246,28,true
PR0387,DB00334,DB01224,29,true
PR0388,DB00334,DB00477,22,true
PR0389,DB00334,DB01236,2,true
PR0390,DB00334,DB00997,3,true
PR0391,DB00334,DB00829,6,true
PR0392,DB00334,DB00184,5,true
PR0393,DB00334,DB00408,25,true
PR0394,DB00334,DB01151,16,true
PR0395,DB00334,DB00530,6,true
PR0396,DB00334,DB00675,7,true
PR0397,DB00334,DB00328,4,true
PR0398,DB00334,DB00563,2,true
PR0399,DB00619,DB00458,10,true
PR0400,DB00619,DB01238,6,true
PR0401,DB00619,DB00783,12,true
PR0402,DB00619,DB00171,3,true
PR0403,DB00619,DB00909,2,true
PR0404,DB00619,DB00753,1,false
PR0405,DB00619,DB00246,6,true
PR0406,DB00619,DB01224,7,true
PR0407,DB00619,DB00477,6,true
PR0408,DB00619,DB01236,2,true
PR0409,DB00619,DB00997,4,true
PR0410,DB00619,DB00829,9,true
PR0411,DB00619,DB00184,7,true
PR0412,DB00619,DB01151,8,true
PR0413,DB00619,DB00530,11,true
PR0414,DB00619,DB00675,10,true
PR0415,DB00619,DB00328,4,true
PR0416,DB00619,DB00122,2,true
PR0417,DB00619,DB00563,3,true
PR0418,DB00458,DB01238,21,true
PR0419,DB00458,DB00783,9,true
PR0420,DB00458,DB00171,1,false
PR0421,DB00458,DB00909,2,true
PR0422,DB00458,DB00753,2,true
PR0423,DB00458,DB00246,21,true
PR0424,DB00458,DB01224,20,true
PR0425,DB00458,DB00477,19,true
PR0426,DB00458,DB01236,3,true
PR0427,DB00458,DB00997,4,true
PR0428,DB00458,DB00829,8,true
PR0429,DB00458,DB00184,10,true
PR0430,DB00458,DB00408,15,true
PR0431,DB00458,DB01151,23,true
PR0432,DB00458,DB00530,5,true
PR0433,DB00458,DB00675,9,true
PR0434,DB00458,DB00328,2,true
PR0435,DB00458,DB00122,4,true
PR0436,DB00458,DB00563,1,false
PR0437,DB01238,DB00783,5,true
PR0438,DB01238,DB00171,1,false
PR0439,DB01238,DB00909,1,false
PR0440,DB01238,DB00246,32,true
PR0441,DB01238,DB01224,31,true
PR0442,DB01238,DB00477,21,true
PR0443,DB01238,DB01236,1,false
PR0444,DB01238,DB00997,3,true
PR0445,DB01238,DB00829,5,true
PR0446,DB01238,DB00184,2,true
PR0447,DB01238,DB00408,26,true
PR0448,DB01238,DB01151,14,true
PR0449,DB01238,DB00530,4,true
PR0450,DB01238,DB00675,6,true
PR0451,DB01238,DB00328,1,false
PR0452,DB01238,DB00563,1,false
PR0453,DB00783,DB00171,1,false
PR0454,DB00783,DB00909,2,true
PR0455,DB00783,DB00753,1,false
PR0456,DB00783,DB00246,5,true
PR0457,DB00783,DB01224,6,true
PR0458,DB00783,DB00477,5,true
PR0459,DB00783,DB01236,2,true
PR0460,DB00783,DB00997,4,true
PR0461,DB00783,DB00829,10,true
PR0462,DB00783,DB00184,9,true
PR0463,DB00783,DB01151,7,true
PR0464,DB00783,DB00530,10,true
PR0465,DB00783,DB00675,12,true
PR0466,DB00783,DB00328,5,true
PR0467,DB00783,DB00122,3,true
PR0468,DB00783,DB00563,3,true
PR0469,DB00171,DB01224,1,false
PR0470,DB00171,DB00477,1,false
PR0471,DB00171,DB00997,2,true
PR0472,DB00171,DB00829,1,false
PR0473,DB00171,DB01151,1,false
PR0474,DB00171,DB00530,3,true
PR0475,DB00171,DB00675,2,true
PR0476,DB00171,DB00328,2,true
PR0477,DB00171,DB00563,2,true
PR0478,DB00909,DB00246,1,false
PR0479,DB00909,DB01224,2,true
PR0480,DB00909,DB00477,1,false
PR0481,DB00909,DB01236,1,false
PR0482,DB00909,DB00997,1,false
PR0483,DB00909,DB00829,2,true
PR0484,DB00909,DB00184,2,true
PR0485,DB00909,DB01151,2,true
PR0486,DB00909,DB00530,1,false
PR0487,DB00909,DB00675,2,true
PR0488,DB00909,DB00328,1,false
PR0489,DB00753,DB00477,2,true
PR0490,DB00753,DB01236,3,true
PR0491,DB00753,DB00997,1,false
PR0492,DB00753,DB00829,3,true
PR0493,DB00753,DB00184,2,true
PR0494,DB00753,DB01151,2,true
PR0495,DB00753,DB00530,1,false
PR0496,DB00753,DB00675,2,true
PR0497,DB00753,DB00328,1,false
PR0498,DB00753,DB00563,1,false
PR0499,DB00246,DB01224,30,true
PR0500,DB00246,DB00477,21,true
PR0501,DB00246,DB01236,1,false
PR0502,DB00246,DB00997,2,true
PR0503,DB00246,DB00829,5,true
PR0504,DB00246,DB00184,3,true
PR0505,DB00246,DB00408,26,true
PR0506,DB00246,DB01151,14,true
PR0507,DB00246,DB00530,4,true
PR0508,DB00246,DB00675,6,true
PR0509,DB01224,DB00477,20,true
PR0510,DB01224,DB01236,1,false
PR0511,DB01224,DB00997,3,true
PR0512,DB01224,DB00829,6,true
PR0513,DB01224,DB00184,3,true
PR0514,DB01224,DB00408,25,true
PR0515,DB01224,DB01151,14,true
PR0516,DB01224,DB00530,4,true
PR0517,DB01224,DB00675,7,true
PR0518,DB01224,DB00328,2,true
PR0519,DB01224,DB00563,1,false
PR0520,DB00477,DB01236,3,true
PR0521,DB00477,DB00997,3,true
PR0522,DB00477,DB00829,5,true
PR0523,DB00477,DB00184,5,true
PR0524,DB00477,DB00408,17,true
PR0525,DB00477,DB01151,14,true
PR0526,DB00477,DB00530,5,true
PR0527,DB00477,DB00675,5,true
PR0528,DB00477,DB00328,2,true
PR0529,DB00477,DB00122,1,false
PR0530,DB00477,DB00563,2,true
PR0531,DB01236,DB00997,2,true
PR0532,DB01236,DB00829,4,true
PR0533,DB01236,DB00184,4,true
PR0534,DB01236,DB01151,4,true
PR0535,DB01236,DB00530,2,true
PR0536,DB01236,DB00675,4,true
PR0537,DB01236,DB00328,1,false
PR0538,DB01236,DB00563,1,false
PR0539,DB00997,DB00829,3,true
PR0540,DB00997,DB00184,3,true
PR0541,DB00997,DB01151,4,true
PR0542,DB00997,DB00530,5,true
PR0543,DB00997,DB00675,7,true
PR0544,DB00997,DB00328,3,true
PR0545,DB00997,DB00563,4,true
PR0546,DB00829,DB00184,7,true
PR0547,DB00829,DB01151,6,true
PR0548,DB00829,DB00530,6,true
PR0549,DB00829,DB00675,11,true
PR0550,DB00829,DB00328,4,true
PR0551,DB00829,DB00563,2,true
PR0552,DB00184,DB01151,12,true
PR0553,DB00184,DB00530,5,true
PR0554,DB00184,DB00675,10,true
PR0555,DB00184,DB00328,2,true
PR0556,DB00184,DB00122,5,true
PR0557,DB00408,DB01151,11,true
PR0558,DB01151,DB00530,5,true
PR0559,DB01151,DB00675,8,true
PR0560,DB01151,DB00328,2,true
PR0561,DB01151,DB00122,5,true
PR0562,DB01151,DB00563,1,false
PR0563,DB00530,DB00675,9,true
PR0564,DB00530,DB00328,3,true
PR0565,DB00530,DB00563,3,true
PR0566,DB00675,DB00328,4,true
PR0567,DB00675,DB00563,3,true
PR0568,DB00328,DB00563,5,true
