gene_id,pathway_id
3356,PC7_2620
3356,PC7_7439
3356,WP455_r81793
3356,WP117_r82985
6531,PC7_7290
6531,PC7_8339
6531,PC7_5887
9429,PC7_8339
9429,WP229_r68389
9429,PC7_5322
7153,WP3594_r84573
1812,PC7_3318
1812,PC7_1624
1812,WP455_r81793
1812,PC7_7439
1812,PC7_4044
1812,WP3594_r84573
1812,WP58_r80015
1812,PC7_2620
1812,PC7_4043
1812,PC7_7457
3350,PC7_7439
3350,WP706_r80056
3350,WP455_r81793
3350,PC7_1624
3350,PC7_3992
3350,PC7_4043
3350,PC7_7457
3350,PC7_4044
3350,PC7_2620
3350,PC7_7432
3350,WP58_r80015
148,PC7_1578
148,PC7_4043
148,PC7_4044
148,PC7_1624
148,WP455_r81793
148,PC7_3993
148,PC7_7457
148,PC7_2620
148,WP536_r80211
148,WP58_r80015
148,PC7_4107
148,PC7_7439
150,PC7_1578
150,PC7_7457
150,PC7_1624
150,PC7_5322
150,PC7_7439
150,PC7_2620
150,PC7_3992
150,PC7_4043
150,WP455_r81793
150,WP58_r80015
150,PC7_4044
3351,WP58_r80015
3351,PC7_4043
3351,PC7_3992
3351,PC7_7457
3351,WP455_r81793
3351,PC7_2620
3351,PC7_7432
3351,PC7_1624
3351,PC7_4044
3351,PC7_7439
3269,PC7_3993
3269,PC7_2620
3269,PC7_4043
3269,WP455_r81793
3269,PC7_4044
3269,PC7_4107
3269,PC7_1624
3269,WP58_r80015
3269,PC7_7439
3269,PC7_7457
151,PC7_1578
151,PC7_4043
151,PC7_3992
151,PC7_7439
151,PC7_2620
151,WP455_r81793
151,PC7_1624
151,PC7_4044
151,PC7_7457
151,WP58_r80015
1128,PC7_3993
1128,PC7_7439
1128,PC7_4044
1128,WP455_r81793
1128,PC7_4107
1128,WP3594_r84573
1128,WP536_r80211
1128,WP58_r80015
1128,PC7_4043
1128,PC7_1624
1128,PC7_2620
1128,PC7_7457
1813,WP3594_r84573
1813,WP58_r80015
1813,WP455_r81793
1813,PC7_7439
1813,PC7_4044
1813,PC7_4043
1813,PC7_1624
1813,PC7_7457
1813,PC7_3318
1813,PC7_2620
1813,PC7_3992
1814,PC7_3992
1814,PC7_7439
1814,PC7_4043
1814,WP455_r81793
1814,WP58_r80015
1814,WP117_r82985
1814,PC7_1624
1814,WP3594_r84573
1814,PC7_2620
1814,PC7_4044
1814,PC7_7457
1814,PC7_3318
1815,WP3594_r84573
1815,PC7_7457
1815,WP58_r80015
1815,PC7_3992
1815,PC7_1624
1815,PC7_2620
1815,WP455_r81793
1815,PC7_4044
1815,PC7_3318
1815,PC7_7439
1815,PC7_4043
1815,WP117_r82985
3357,PC7_3993
3357,PC7_1624
3357,WP58_r80015
3357,PC7_4043
3357,PC7_4107
3357,PC7_2620
3357,WP455_r81793
3357,PC7_7439
3357,PC7_7457
3357,PC7_4044
3357,PC7_7432
3352,PC7_7457
3352,WP58_r80015
3352,PC7_3992
3352,PC7_1624
3352,PC7_4044
3352,PC7_4043
3352,PC7_7432
3352,WP455_r81793
3352,PC7_2620
3352,PC7_7439
152,WP455_r81793
152,PC7_1624
152,PC7_1578
152,PC7_7457
152,PC7_7439
152,PC7_3992
152,PC7_2620
152,WP58_r80015
152,PC7_5322
152,PC7_4044
152,PC7_4043
1543,WP3298_r84382
1543,WP206_r68882
1543,PC7_7761
1543,PC7_1693
1543,WP702_r73516
1543,WP691_r79986
1543,PC7_8790
1543,PC7_2098
1543,PC7_2905
1543,PC7_5326
1543,PC7_7726
1543,PC7_6432
1543,WP43_r84102
1543,WP465_r79226
1543,PC7_5322
213,PC7_7290
213,PC7_5322
213,PC7_5326
213,PC7_8339
1244,WP2875_r79890
1244,WP229_r68389
1244,PC7_8339
1244,WP299_r78587
4363,PC7_8339
4363,PC7_5322
4363,WP229_r68389
4363,PC7_5326
4363,PC7_1693
1816,WP58_r80015
1816,PC7_7439
1816,PC7_4043
1816,PC7_1624
1816,PC7_2620
1816,WP455_r81793
1816,PC7_7457
1816,PC7_3318
1816,PC7_4044
1131,WP536_r80211
1131,WP455_r81793
1131,PC7_7457
1131,WP58_r80015
1131,PC7_2620
1131,WP117_r82985
1131,PC7_7439
1131,PC7_4044
1131,PC7_3993
1131,PC7_5322
1131,PC7_4107
1131,PC7_1624
1131,PC7_4043
1571,PC7_6432
1571,WP465_r79226
1571,PC7_8790
1571,PC7_2379
1571,PC7_2098
1571,PC7_2905
1571,WP206_r68882
1571,PC7_5322
1571,WP702_r73516
1571,WP299_r78587
1571,WP43_r84102
1571,WP691_r79986
6582,PC7_5322
6582,PC7_7290
6582,PC7_5887
6582,PC7_8339
89845,PC7_8339
1545,PC7_5322
1545,WP3298_r84382
1545,PC7_6432
1545,WP465_r79226
1545,PC7_2905
1545,WP691_r79986
1545,WP43_r84102
1545,PC7_2098
1545,PC7_7761
1545,WP702_r73516
1545,PC7_5326
1545,PC7_7726
1545,PC7_1693
28234,PC7_5326
28234,PC7_8339
28234,PC7_5322
28234,PC7_7290
1129,PC7_3992
1129,PC7_7439
1129,PC7_7457
1129,PC7_2620
1129,WP706_r80056
1129,WP455_r81793
1129,PC7_4044
1129,WP58_r80015
1129,PC7_4043
1129,WP536_r80211
1129,PC7_1624
1129,WP117_r82985
1132,PC7_7457
1132,WP455_r81793
1132,PC7_7439
1132,PC7_4043
1132,PC7_3992
1132,WP536_r80211
1132,PC7_1624
1132,WP58_r80015
1132,PC7_4044
1132,PC7_2620
3757,PC7_5887
3757,WP706_r80056
147,WP536_r80211
147,PC7_7457
147,PC7_4044
147,PC7_7439
147,PC7_3993
147,PC7_1624
147,WP455_r81793
147,WP58_r80015
147,PC7_4107
147,PC7_2620
147,PC7_4043
147,PC7_1578
3363,PC7_7432
3363,PC7_2620
3363,WP58_r80015
3363,PC7_4044
3363,PC7_7439
3363,WP3594_r84573
3363,PC7_4043
3363,WP455_r81793
3363,PC7_1624
3363,PC7_7457
3363,WP117_r82985
1133,PC7_4107
1133,WP455_r81793
1133,PC7_2620
1133,WP58_r80015
1133,PC7_7439
1133,WP536_r80211
1133,PC7_1624
1133,PC7_7457
1133,PC7_4044
1133,PC7_3993
1133,PC7_4043
9254,PC7_5887
9254,PC7_5322
6580,PC7_7290
6580,PC7_5887
6580,PC7_5322
6580,PC7_8339
4985,PC7_7439
4985,PC7_3992
4985,WP455_r81793
4985,PC7_4043
4985,PC7_7457
4985,PC7_2620
4985,PC7_4044
4988,PC7_3992
4988,PC7_4044
4988,PC7_7439
4988,PC7_7457
4988,PC7_2620
4988,WP455_r81793
4988,PC7_4043
4986,PC7_2620
4986,WP455_r81793
4986,PC7_3992
4986,PC7_7439
4986,PC7_4044
4986,PC7_4043
4986,PC7_7457
8647,PC7_5322
8647,WP299_r78587
8647,PC7_5326
