report_id,compound_id,side_effect_id,report_count,precomputed_similarity,combined_evidence,is_signal,narrative_vec
R0036,DB00285,C0032285,2.226,0.367,0.816,false,"0.3766,-0.0405,-0.3388,-0.4878,0.1822,0.3284,-0.1412,-0.0465,-0.2233,0.2357,0.1700,-0.0210,-0.0658,-0.1803,0.4075,-0.0540"
R0037,DB00783,C0010200,2.463,0.334,0.822,false,"0.3436,-0.2779,-0.3274,0.0976,0.2399,0.4208,0.0374,0.1646,0.0901,-0.1592,-0.1271,-0.5940,-0.0864,0.0228,-0.0374,-0.1141"
R0038,DB00193,C0004093,3.947,0.395,1.559,false,"-0.2499,0.2711,0.0473,-0.3585,-0.3371,-0.0738,0.1930,0.1818,0.0705,0.3467,-0.0007,0.1459,0.4671,-0.1188,0.1151,0.3897"
R0039,DB00273,C0009676,3.647,0.338,1.231,false,"-0.0331,0.3170,-0.0531,-0.3292,0.3969,0.3124,-0.1235,-0.0015,0.3255,-0.2289,-0.4532,-0.0121,-0.2128,0.2009,0.2309,-0.1184"
R0040,DB00413,C0232462,3.125,0.347,1.085,false,"0.2881,0.4951,0.0576,0.1630,-0.3804,-0.1103,-0.4211,0.0157,-0.0166,0.1534,-0.4399,-0.0191,-0.0075,0.2870,0.0830,0.0213"
R0041,DB01137,C0011991,2.692,0.265,0.713,false,"0.2856,0.1556,0.3758,-0.0107,0.1491,-0.2641,0.4558,-0.2790,-0.0727,-0.2695,0.0580,0.1382,-0.0443,0.0544,0.0270,0.5189"
R0042,DB00997,C0030252,2.111,0.397,0.837,false,"-0.1258,0.2493,0.1613,-0.1554,-0.1010,0.1978,-0.0851,0.4399,0.1953,0.4585,-0.5536,-0.0210,0.1529,-0.0776,0.1756,0.0792"
R0043,DB00734,C0232462,2.478,0.391,0.968,false,"0.4260,0.0339,0.1079,0.1141,-0.1051,0.0373,-0.0558,0.3742,0.4835,-0.1805,-0.4792,0.1465,-0.0476,-0.1234,-0.0792,-0.3096"
R0044,DB00537,C0020538,3.676,0.280,1.029,false,"-0.1477,-0.0583,-0.3447,-0.0513,0.5312,0.3211,-0.0622,0.3516,0.2430,0.0474,0.1106,0.1977,-0.2816,-0.0317,-0.0194,0.3838"
R0045,DB00715,C0000737,2.737,0.349,0.956,false,"0.0762,0.1356,-0.1420,-0.4232,-0.2785,0.2712,0.3394,0.3029,-0.1458,-0.1057,-0.2481,0.1543,0.2639,-0.0380,0.3665,-0.3087"
R0046,DB00176,C0231218,3.919,0.340,1.333,false,"-0.0494,-0.0494,-0.2024,-0.1901,-0.1045,-0.1127,0.5168,-0.2951,-0.3171,-0.0745,-0.0071,0.3888,-0.1679,0.0049,0.2053,0.4611"
R0047,DB00864,C0016204,2.842,0.225,0.639,false,"-0.0912,0.2288,0.0494,-0.4994,0.0898,0.0165,-0.0417,-0.0423,-0.2767,-0.4848,0.4500,0.0125,-0.3015,-0.1287,-0.1672,-0.1610"
R0048,DB00996,C0016204,3.805,0.374,1.422,false,"-0.1041,0.0497,-0.4140,-0.3050,0.2485,0.5445,0.0308,0.1981,-0.1064,-0.1456,-0.1397,-0.0968,-0.3018,0.3591,0.2023,-0.0389"
R0049,DB01238,C0033774,2.533,0.278,0.704,false,"0.3302,-0.0068,-0.0809,-0.0853,-0.1522,0.1541,-0.3442,-0.3613,0.1292,-0.1880,-0.3281,0.0041,0.3444,0.3615,0.0980,-0.4032"
R0050,DB00193,C0018681,2.408,0.354,0.853,false,"0.0908,0.1998,0.0730,-0.2874,-0.1634,0.4812,0.5577,0.0956,0.0748,0.1524,0.0843,-0.0363,0.4219,-0.2406,-0.1064,0.0317"
R0051,DB00688,C0020580,3.621,0.316,1.143,false,"-0.2743,0.2498,0.0921,0.1892,0.2186,-0.0996,-0.2868,-0.2698,-0.0114,-0.2625,-0.6322,0.0033,0.1406,-0.1855,0.1017,0.2685"
R0052,DB00537,C0014591,2.014,0.242,0.487,false,"-0.3448,-0.2672,-0.0536,-0.6646,0.1901,0.2889,0.0190,0.1603,-0.2727,0.2069,-0.0088,-0.1160,0.2232,-0.0638,-0.0889,0.1642"
R0053,DB00472,C0011168,3.196,0.357,1.140,false,"0.0291,-0.1277,0.3194,0.0709,0.3417,0.4462,-0.0360,-0.0750,-0.0913,0.2992,0.3215,0.2240,0.2178,-0.0150,-0.1423,0.4835"
R0054,DB00268,C0948594,2.670,0.228,0.609,false,"-0.2852,0.2074,-0.1613,-0.0378,-0.3145,0.2246,0.0861,-0.1274,-0.3140,0.0869,-0.2271,-0.3808,-0.1580,-0.2825,0.5081,-0.0976"
R0055,DB00715,C0000737,2.658,0.279,0.741,false,"-0.1093,0.1094,-0.1041,0.0678,-0.3092,0.0276,0.1306,0.3321,-0.4472,0.2384,-0.2365,0.0507,0.0435,0.3375,0.4353,-0.3411"
R0056,DB00445,C0948594,2.833,0.356,1.009,false,"0.2184,0.1885,-0.1413,-0.0527,0.1373,0.1883,-0.4302,0.3316,-0.3085,-0.1234,-0.3191,0.1025,-0.3775,0.2115,-0.0399,-0.3647"
R0057,DB00755,C0085593,3.436,0.317,1.088,false,"-0.1113,-0.0105,0.3825,-0.3596,-0.3876,-0.2830,0.1157,-0.0934,-0.2200,0.2556,0.2190,-0.2817,0.2309,-0.2078,0.1241,0.3265"
R0058,DB01101,C0009763,2.385,0.259,0.619,false,"-0.0161,-0.5605,0.1762,0.1392,0.3622,-0.3914,-0.1098,0.0161,-0.1379,-0.3723,0.2635,0.1671,-0.0892,-0.2198,0.0041,0.1648"
R0059,DB00996,C0020458,3.682,0.246,0.907,false,"-0.0596,0.2015,-0.1834,0.0325,0.2326,0.0648,0.1766,-0.2389,-0.4226,0.2170,-0.5524,-0.1454,0.0311,-0.1574,-0.4257,0.1248"
R0060,DB01101,C0004604,2.092,0.321,0.672,false,"-0.2954,-0.1160,-0.2210,-0.3902,-0.1181,-0.0836,0.1455,-0.0071,-0.3292,-0.2884,-0.4974,-0.2724,0.0456,0.1395,0.1639,0.3073"
R0061,DB00715,C0000737,2.742,0.344,0.944,false,"0.0307,-0.1745,0.2030,-0.1568,0.1270,0.1213,0.1015,0.2571,-0.3457,-0.3729,-0.2964,0.2629,-0.2740,-0.3281,0.3998,0.1934"
R0062,DB01175,C0004604,3.651,0.303,1.108,false,"-0.2870,0.0315,0.1433,-0.2698,0.1841,0.2505,0.2046,-0.3292,0.1719,-0.0762,-0.1243,0.0465,0.0729,-0.3830,-0.0730,0.6050"
R0063,DB00273,C0015967,2.792,0.302,0.842,false,"0.1421,-0.3241,0.1166,0.0148,0.0574,0.5733,-0.2300,0.1969,-0.2849,0.0868,-0.1577,0.3980,-0.2505,0.1567,-0.2384,-0.1453"
R0064,DB00230,C0015230,3.111,0.228,0.708,false,"0.0696,-0.0982,0.1325,0.1451,-0.1919,-0.5003,-0.2302,0.5370,-0.1216,0.1557,0.1587,-0.0259,-0.3894,0.0628,0.3107,0.0382"
R0065,DB01137,C0011991,3.692,0.391,1.444,false,"0.0801,-0.6666,0.0927,0.1969,0.1761,-0.0914,-0.0095,0.2045,-0.0638,0.1518,-0.0816,0.1316,0.2240,-0.1190,-0.0104,0.5523"
R0066,DB00996,C0020458,3.031,0.315,0.956,false,"0.1884,-0.4610,-0.2715,-0.3797,-0.1894,0.1821,0.4953,0.1623,-0.0097,-0.1589,-0.1865,0.0952,-0.0603,0.1316,0.2365,0.2175"
R0067,DB00864,C0016204,2.364,0.283,0.668,false,"0.1269,0.2549,0.3247,-0.0625,-0.4263,-0.4089,-0.1768,-0.0858,-0.3385,0.2947,-0.3368,0.3074,-0.0553,0.0514,0.0631,-0.0552"
R0068,DB00997,C0009806,3.574,0.336,1.200,false,"0.6155,-0.1518,0.4222,-0.3769,-0.2988,0.0789,-0.0472,-0.2879,0.0593,0.0429,0.1067,0.1884,0.1236,-0.0102,-0.1489,-0.0861"
R0069,DB00783,C0010200,2.491,0.395,0.985,false,"0.1380,-0.1235,-0.2104,0.1117,-0.2799,-0.2859,0.0149,-0.3079,-0.3354,0.0240,-0.1539,-0.0620,-0.4697,0.4084,-0.2740,0.2255"
R0070,DB01101,C0004604,3.904,0.282,1.101,false,"0.5012,-0.1130,0.0308,-0.2935,-0.0659,-0.0385,0.0803,0.1534,-0.0830,-0.3300,0.0199,0.1364,0.1548,0.4934,-0.4592,-0.0038"
R0071,DB00230,C0009806,3.689,0.289,1.066,false,"0.0219,0.0774,-0.0298,0.4168,-0.1529,0.4023,-0.0088,-0.2511,-0.3644,0.3612,-0.4882,-0.0596,0.2084,-0.0032,0.1477,-0.0160"
R0072,DB00813,C0033774,2.764,0.344,0.951,false,"0.0422,-0.0736,-0.1801,-0.4584,0.0425,-0.1151,0.1718,-0.2820,-0.0841,-0.3012,-0.1407,0.1705,0.2714,-0.4738,0.4209,0.0649"
R0073,DB01175,C0033774,2.415,0.354,0.855,false,"-0.1520,-0.1238,-0.3874,-0.2399,0.1826,-0.1850,0.0425,-0.5574,0.2825,0.1522,-0.2472,-0.1353,-0.3476,0.2196,-0.1498,-0.0070"
R0074,DB01229,C0033774,3.042,0.400,1.216,false,"0.2647,0.0705,-0.4657,-0.1618,0.0316,-0.1464,-0.0781,0.0063,-0.4053,-0.1520,-0.3136,-0.1020,0.2636,0.5052,0.0632,0.1690"
R0075,DB00813,C0033774,3.510,0.281,0.986,false,"-0.2290,0.2486,-0.0600,-0.0873,0.2172,0.3601,-0.3205,-0.1102,-0.3502,0.0129,0.4106,0.2418,0.0285,-0.2293,0.3945,-0.1546"
R0076,DB01175,C0033774,2.843,0.240,0.682,false,"0.1106,-0.0093,-0.0539,0.0752,0.3231,-0.0019,0.2502,-0.0613,-0.4904,0.3784,0.0105,0.1589,0.1168,0.4788,-0.2700,0.2890"
R0077,DB00688,C0020580,2.508,0.393,0.985,false,"0.1684,0.2699,0.0194,-0.1092,0.0774,-0.0501,0.0503,0.6713,-0.1400,0.0189,-0.2438,-0.2813,0.0115,0.2294,-0.0684,0.4570"
R0078,DB01101,C0004604,3.983,0.348,1.388,false,"0.2016,0.3159,0.0793,-0.5523,0.0152,0.1765,0.0567,-0.2400,0.1758,0.2959,-0.2632,0.4164,0.2843,0.0858,0.0589,0.0569"
R0079,DB00755,C0042109,2.378,0.342,0.814,false,"0.1511,-0.1159,0.1177,-0.0279,0.2413,0.2439,-0.4980,-0.1887,-0.1809,0.0580,-0.0716,0.2492,-0.0423,-0.0555,-0.6628,0.0154"
R0080,DB00188,C0030252,2.775,0.295,0.818,false,"0.3983,0.0344,-0.0393,0.2498,-0.0632,-0.2714,-0.2669,-0.1777,-0.0923,-0.1637,-0.4211,-0.1676,0.5063,-0.1595,0.0629,0.2632"
R0081,DB00989,C0231528,2.796,0.298,0.833,false,"0.2806,-0.2496,0.2431,-0.3346,0.5295,-0.4093,0.0371,0.2542,-0.1063,0.1234,-0.0700,-0.0883,0.2148,-0.0104,0.1449,-0.2598"
R0082,DB00783,C0917801,2.068,0.328,0.678,false,"0.1729,0.0061,0.2320,-0.2498,-0.2338,0.1545,0.5980,0.1759,-0.2046,0.2278,-0.2888,0.2403,0.2320,-0.0206,0.3092,-0.0447"
R0083,DB01165,C0039231,2.301,0.317,0.731,false,"-0.5822,-0.3776,-0.0835,0.3465,0.2629,0.1767,0.0075,0.0692,0.0853,-0.3517,-0.1494,-0.0015,0.2290,0.1404,0.2156,-0.1194"
R0084,DB00285,C0032285,3.445,0.342,1.179,false,"0.2369,0.0950,-0.2016,-0.1490,0.3418,-0.2660,0.0251,0.7021,0.1496,-0.1518,-0.0107,-0.2123,0.0034,0.1291,0.2643,0.1174"
R0085,DB00864,C0036974,3.807,0.265,1.008,false,"-0.1662,0.7395,-0.0830,-0.0779,0.2640,-0.3738,0.1788,0.0264,-0.0440,0.0476,-0.2516,-0.1437,0.2493,0.1320,-0.0532,0.0003"
R0086,DB00268,C0948594,3.710,0.352,1.305,false,"0.4909,0.0790,0.1886,-0.2787,0.2911,0.2771,0.1067,0.1368,-0.4071,0.2039,-0.1786,-0.0871,0.2476,0.0994,0.0356,0.3587"
R0087,DB00176,C0231218,3.262,0.276,0.901,false,"-0.1751,0.1942,0.0408,-0.2770,-0.2976,0.2638,0.0946,0.1074,-0.1312,0.1068,-0.3136,0.4702,-0.1025,-0.0692,0.2856,-0.4793"
R0088,DB00537,C0020538,3.100,0.255,0.790,false,"0.0537,-0.1353,-0.0150,-0.2858,-0.0489,0.1890,0.4469,0.2455,0.0596,0.2003,-0.4470,-0.2505,-0.1912,-0.1129,-0.0595,0.4897"
R0089,DB00268,C0008031,3.554,0.248,0.880,false,"0.3757,0.0278,-0.0264,-0.2465,0.3534,0.0180,0.0491,0.1498,-0.6133,0.1316,-0.1267,-0.4164,0.1094,0.0601,-0.0661,-0.2089"
R0090,DB00285,C0016204,2.615,0.390,1.020,false,"0.0349,0.1214,-0.2568,-0.0879,0.1137,0.5896,0.4000,0.4726,-0.2703,0.1939,-0.0971,-0.0169,-0.0505,-0.1431,-0.0862,-0.1251"
R0091,DB00188,C0013404,2.631,0.333,0.876,false,"-0.3546,-0.0071,-0.1002,0.0832,-0.1587,0.3681,0.1608,-0.1037,0.0198,0.2164,-0.1258,0.1813,0.4876,0.1296,0.5239,0.1868"
R0092,DB00813,C0009763,3.271,0.288,0.943,false,"-0.1047,-0.1073,-0.0278,0.0550,0.2492,-0.4672,0.0726,0.2519,-0.0639,-0.3925,-0.1365,0.2541,0.1362,0.2244,-0.3982,0.3946"
R0093,DB00480,C0020538,2.365,0.300,0.709,false,"-0.3111,-0.0652,-0.0224,-0.1918,-0.3263,0.3521,0.3321,-0.4163,-0.0100,0.1937,-0.0012,0.3280,-0.0065,0.2138,-0.3065,0.2507"
R0094,DB00715,C0039231,3.995,0.383,1.530,false,"0.0703,-0.0370,-0.2380,-0.3636,0.1354,-0.2129,0.1029,0.2077,-0.5680,-0.0185,-0.2140,-0.0321,0.4304,-0.2081,0.2983,-0.0147"
R0095,DB00472,C0000737,3.233,0.287,0.927,false,"0.2026,0.0266,0.4103,-0.1248,-0.1903,-0.3811,0.2708,0.2094,0.1643,-0.2017,-0.4859,0.1085,-0.0084,-0.1741,0.2912,-0.2119"
R0096,DB01137,C0011991,2.984,0.270,0.807,false,"0.0689,0.2096,0.3269,-0.2732,0.4090,-0.1298,0.1236,0.1713,-0.3014,0.4157,-0.1536,0.1967,0.0988,0.3009,-0.1826,0.2855"
R0097,DB01137,C0032285,2.526,0.248,0.626,false,"0.2565,-0.0087,0.1448,-0.1758,-0.2551,-0.0813,0.1719,0.2303,-0.4474,-0.3066,0.0085,-0.2542,0.1498,0.2665,0.2767,0.4462"
R0098,DB00188,C0013404,3.062,0.275,0.843,false,"-0.0330,0.0689,-0.4743,-0.5354,-0.0794,-0.0062,0.2397,0.1177,0.2441,0.0880,-0.2173,-0.2535,0.1005,-0.0620,-0.4333,0.1560"
R0099,DB00480,C0027497,3.199,0.327,1.044,false,"-0.0554,0.1943,0.0530,-0.3217,0.3159,-0.1816,0.1887,0.3218,-0.1514,-0.0850,-0.2425,-0.3715,0.3923,-0.3008,-0.3229,-0.0725"
R0100,DB00193,C0004093,2.711,0.337,0.913,false,"0.0051,-0.0378,0.0576,-0.2261,0.4103,0.4847,0.4440,-0.0358,-0.2291,-0.0137,0.0422,0.0721,0.2966,0.4246,-0.0077,-0.1202"
R0101,DB01229,C0010200,2.247,0.328,0.736,false,"-0.0030,-0.3268,0.2636,0.2859,-0.0875,-0.0751,0.3528,-0.3520,0.3000,-0.3520,0.3308,0.2188,0.0884,0.2378,0.1931,0.0857"
R0102,DB00176,C0020458,3.958,0.369,1.460,false,"0.2150,0.0427,0.1964,-0.3312,0.1288,0.0084,-0.2947,0.2631,0.0426,0.4218,0.4162,0.4369,0.2585,0.0191,0.0822,0.1149"
R0103,DB00472,C0000737,3.585,0.295,1.059,false,"0.3087,-0.4032,0.0179,0.4008,0.1696,-0.0444,0.0657,0.0633,-0.1160,-0.0889,0.0383,-0.1346,0.0781,-0.1902,0.4383,-0.5166"
R0104,DB00176,C0231218,3.804,0.293,1.113,false,"-0.5019,-0.1026,-0.0689,0.0329,-0.3624,0.2129,0.1289,0.2189,-0.4415,-0.1031,-0.2300,-0.0988,0.0394,0.1320,-0.4507,0.0135"
R0105,DB00715,C0039231,3.655,0.280,1.023,false,"0.0050,-0.3493,-0.2625,0.2569,0.1944,-0.0492,-0.3373,0.1551,-0.1743,-0.0550,-0.3975,0.1336,-0.4511,0.2125,0.2119,-0.2493"
R0106,DB00755,C0085593,2.630,0.316,0.831,false,"0.2539,-0.0639,-0.0336,-0.0028,-0.1959,0.3672,-0.4436,-0.0893,-0.4505,-0.0229,-0.0697,0.1192,-0.3056,-0.0155,0.3759,-0.3080"
R0107,DB00783,C0013404,3.781,0.359,1.357,false,"-0.2702,0.3529,0.0432,-0.2988,0.3420,-0.1337,0.1340,-0.2122,-0.2148,0.0337,0.0292,-0.3963,0.1808,-0.3789,-0.0586,0.3585"
R0108,DB00997,C0009806,2.867,0.303,0.870,false,"0.0846,-0.2404,-0.4929,0.0358,-0.1390,-0.0906,-0.0609,0.0529,-0.4280,0.4193,0.2072,0.3478,0.0870,-0.1030,0.1893,0.2825"
R0109,DB01137,C0011991,2.783,0.380,1.058,false,"0.1119,0.3300,0.3001,0.2426,0.2273,-0.2291,0.2940,0.3767,0.0627,0.2602,0.1322,-0.1079,0.1239,-0.2685,-0.2545,-0.3798"
R0110,DB01175,C0004604,3.963,0.343,1.358,false,"0.1064,0.1059,-0.2980,-0.1112,0.0234,-0.1517,0.1898,0.0532,-0.1875,0.2976,-0.4603,-0.6386,0.0397,0.0338,-0.2264,0.1286"
R0111,DB00715,C0039231,3.925,0.324,1.271,false,"0.0040,0.0854,-0.1440,-0.1378,0.0472,0.0702,0.5105,-0.0051,-0.4487,-0.1426,-0.0249,-0.2371,-0.0555,0.5426,-0.3256,-0.0559"
R0112,DB00734,C0085593,2.968,0.390,1.159,false,"-0.0135,-0.0453,0.1781,-0.1251,0.0721,0.2444,0.4228,-0.2187,-0.5595,0.0759,0.1289,0.0832,0.4293,-0.2053,0.0317,-0.2984"
R0113,DB00215,C0020538,2.670,0.339,0.904,false,"0.0399,-0.0234,-0.2228,0.1281,-0.1584,0.2209,0.4950,-0.5225,0.0044,0.0477,0.0112,-0.2551,0.4472,0.1591,-0.1217,-0.1798"
R0114,DB00176,C0020458,2.739,0.326,0.894,false,"0.2181,-0.2574,-0.0690,0.3634,-0.0601,0.0286,0.1789,0.0232,-0.0085,0.4195,0.1121,0.1668,0.2111,-0.6075,0.0020,-0.2868"
R0115,DB01137,C0234215,2.230,0.374,0.834,false,"0.0503,0.1995,-0.0663,-0.1216,-0.1928,0.1004,0.1174,-0.1664,-0.1361,-0.3454,0.4181,0.5112,-0.1364,-0.3523,0.3463,0.1145"
R0116,DB00715,C0010200,3.263,0.225,0.734,false,"0.1915,0.1846,-0.1392,-0.5725,0.1947,0.1911,-0.2324,0.0985,-0.0848,-0.1156,0.2619,-0.4753,-0.1541,-0.0965,-0.2856,-0.1196"
R0117,DB00996,C0016204,2.408,0.291,0.701,false,"-0.1881,-0.1519,-0.3399,-0.1374,0.1208,-0.5945,0.1575,0.0760,-0.1533,-0.2381,0.2201,0.0416,0.3764,0.1736,-0.1017,0.3097"
